date,price,volume
2019-02-26,90720.0,149.0
2019-02-27,79392.0,35.0
2019-02-28,81792.0,23.0
2019-03-01,86304.0,19.0
2019-03-04,89280.0,19.0
2019-03-05,89280.0,12.0
2019-03-06,83424.0,13.0
2019-03-07,79392.0,5.0
2019-03-08,77952.0,6.0
2019-03-11,81408.0,7.0
2019-03-12,77280.0,4.0
2019-03-13,68160.0,13.0
2019-03-14,66048.0,15.0
2019-03-15,64800.0,14.0
2019-03-18,62400.0,13.0
2019-03-19,68640.0,19.0
2019-03-20,79584.0,29.0
2019-03-21,78048.0,11.0
2019-03-22,78816.0,6.0
2019-03-25,74112.0,6.0
2019-03-26,69600.0,6.0
2019-03-27,71040.0,3.0
2019-03-28,78048.0,13.0
2019-03-29,77280.0,7.0
2019-04-01,74016.0,4.0
2019-04-02,73536.0,4.0
2019-04-03,67968.0,20.0
2019-04-04,64320.0,8.0
2019-04-05,66048.0,9.0
2019-04-08,64704.0,4.0
2019-04-09,63936.0,8.0
2019-04-10,61152.0,8.0
2019-04-11,62592.0,4.0
2019-04-12,67104.0,18.0
2019-04-15,68640.0,4.0
2019-04-16,67200.0,4.0
2019-04-17,67488.0,1.0
2019-04-18,68736.0,15.0
2019-04-22,70704.0,1.0
2019-04-23,68736.0,2.0
2019-04-24,67891.203125,4.0
2019-04-25,69600.0,2.0
2019-04-26,67200.0,4.0
2019-04-29,66240.0,5.0
2019-04-30,64800.0,5.0
2019-05-01,61056.0,5.0
2019-05-02,62976.0,3.0
2019-05-03,79104.0,99.0
2019-05-06,80160.0,23.0
2019-05-07,79200.0,12.0
2019-05-08,85440.0,18.0
2019-05-09,81696.0,11.0
2019-05-10,85056.0,8.0
2019-05-13,82080.0,9.0
2019-05-14,82560.0,5.0
2019-05-15,79488.0,11.0
2019-05-16,76416.0,11.0
2019-05-17,71424.0,5.0
2019-05-20,73632.0,8.0
2019-05-21,80064.0,5.0
2019-05-22,76224.0,6.0
2019-05-23,70752.0,7.0
2019-05-24,71328.0,4.0
2019-05-28,72000.0,2.0
2019-05-29,69792.0,3.0
2019-05-30,71712.0,2.0
2019-05-31,69888.0,2.0
2019-06-03,69504.0,3.0
2019-06-04,69024.0,4.0
2019-06-05,67200.0,3.0
2019-06-06,63552.0,8.0
2019-06-07,65568.0,2.0
2019-06-10,73824.0,11.0
2019-06-11,71520.0,4.0
2019-06-12,71808.0,2.0
2019-06-13,76224.0,3.0
2019-06-14,78240.0,11.0
2019-06-17,75360.0,4.0
2019-06-18,78144.0,5.0
2019-06-19,78624.0,7.0
2019-06-20,80256.0,2.0
2019-06-21,76416.0,12.0
2019-06-24,80256.0,4.0
2019-06-25,79104.0,3.0
2019-06-26,79776.0,8.0
2019-06-27,79104.0,1.0
2019-06-28,82080.0,3.0
2019-07-01,78816.0,3.0
2019-07-02,76416.0,2.0
2019-07-03,80160.0,3.0
2019-07-05,79200.0,1.0
2019-07-08,75840.0,4.0
2019-07-09,76800.0,1.0
2019-07-10,77952.0,5.0
2019-07-11,77760.0,2.0
2019-07-12,76128.0,1.0
2019-07-15,77280.0,1.0
2019-07-16,79872.0,4.0
2019-07-17,79104.0,1.0
2019-07-18,77472.0,2.0
2019-07-19,78336.0,2.0
2019-07-22,78240.0,3.0
2019-07-23,76800.0,3.0
2019-07-24,74400.0,4.0
2019-07-25,73728.0,3.0
2019-07-26,74304.0,2.0
2019-07-29,74304.0,2.0
2019-07-30,74496.0,2.0
2019-07-31,74112.0,1.0
2019-08-01,75360.0,3.0
2019-08-02,73440.0,2.0
2019-08-05,69120.0,6.0
2019-08-06,69600.0,3.0
2019-08-07,69408.0,2.0
2019-08-08,66624.0,3.0
2019-08-09,66720.0,5.0
2019-08-12,63456.0,2.0
2019-08-13,64512.0,5.0
2019-08-14,61920.0,9.0
2019-08-15,62688.0,9.0
2019-08-16,62400.0,3.0
2019-08-19,63168.0,6.0
2019-08-20,61920.0,5.0
2019-08-21,63360.0,3.0
2019-08-22,61152.0,3.0
2019-08-23,59520.0,5.0
2019-08-26,56160.0,12.0
2019-08-27,49056.0,9.0
2019-08-28,46848.0,12.0
2019-08-29,44256.0,7.0
2019-08-30,45792.0,6.0
2019-09-03,41376.0,5.0
2019-09-04,38016.0,6.0
2019-09-05,40896.0,10.0
2019-09-06,38784.0,1.0
2019-09-09,38400.0,7.0
2019-09-10,41568.0,5.0
2019-09-11,45600.0,6.0
2019-09-12,46080.0,8.0
2019-09-13,52704.0,12.0
2019-09-16,52800.0,18.0
2019-09-17,54144.0,4.0
2019-09-18,55968.0,6.0
2019-09-19,53664.0,6.0
2019-09-20,52800.0,12.0
2019-09-23,50016.0,5.0
2019-09-24,46176.0,6.0
2019-09-25,47904.0,5.0
2019-09-26,43680.0,3.0
2019-09-27,42912.0,7.0
2019-09-30,41376.0,2.0
2019-10-01,40800.0,2.0
2019-10-02,39840.0,3.0
2019-10-03,39936.0,1.0
2019-10-04,39360.0,2.0
2019-10-07,39456.0,2.0
2019-10-08,38496.0,4.0
2019-10-09,39072.0,3.0
2019-10-10,36480.0,11.0
2019-10-11,37728.0,3.0
2019-10-14,35232.0,5.0
2019-10-15,36864.0,3.0
2019-10-16,36960.0,3.0
2019-10-17,36096.0,1.0
2019-10-18,35232.0,1.0
2019-10-21,33792.0,3.0
2019-10-22,30528.0,5.0
2019-10-23,28992.0,3.0
2019-10-24,35040.0,37.0
2019-10-25,33600.0,6.0
2019-10-28,33408.0,2.0
2019-10-29,31872.0,2.0
2019-10-30,31968.0,3.0
2019-10-31,33936.0,1.0
2019-11-01,37824.0,9.0
2019-11-04,34656.0,6.0
2019-11-05,34752.0,6.0
2019-11-06,33504.0,9.0
2019-11-07,30912.0,12.0
2019-11-08,30240.0,8.0
2019-11-11,29568.0,5.0
2019-11-12,28704.0,8.0
2019-11-13,29280.0,12.0
2019-11-14,28704.0,15.0
2019-11-15,28416.0,7.0
2019-11-18,26112.0,8.0
2019-11-19,21888.0,17.0
2019-11-20,19872.0,22.0
2019-11-21,19968.0,19.0
2019-11-22,20160.0,6.0
2019-11-25,21120.0,5.0
2019-11-26,21504.0,5.0
2019-11-27,22560.0,9.0
2019-11-29,23712.0,5.0
2019-12-02,22464.0,6.0
2019-12-03,26496.0,11.0
2019-12-04,25344.0,5.0
2019-12-05,24768.0,1.0
2019-12-06,25632.0,6.0
2019-12-09,27264.0,11.0
2019-12-10,25536.0,7.0
2019-12-11,23136.0,3.0
2019-12-12,24768.0,6.0
2019-12-13,25920.0,4.0
2019-12-16,25920.0,4.0
2019-12-17,25344.0,8.0
2019-12-18,27168.0,9.0
2019-12-19,23232.0,17.0
2019-12-20,24000.0,10.0
2019-12-23,24384.0,5.0
2019-12-24,24768.0,3.0
2019-12-26,25632.0,6.0
2019-12-27,23529.599609375,8.0
2019-12-30,22464.0,5.0
2019-12-31,22656.0,12.0
2020-01-02,23040.0,2.0
2020-01-03,22848.0,4.0
2020-01-06,22656.0,4.0
2020-01-07,26880.0,19.0
2020-01-08,28416.0,13.0
2020-01-09,25872.0,9.0
2020-01-10,25910.400390625,8.0
2020-01-13,27072.0,11.0
2020-01-14,34560.0,202.0
2020-01-15,33888.0,22.0
2020-01-16,34080.0,13.0
2020-01-17,33504.0,3.0
2020-01-21,33504.0,11.0
2020-01-22,31584.0,7.0
2020-01-23,30144.0,14.0
2020-01-24,28800.0,12.0
2020-01-27,26688.0,11.0
2020-01-28,28416.0,8.0
2020-01-29,26784.0,7.0
2020-01-30,26400.0,5.0
2020-01-31,25056.0,5.0
2020-02-03,26592.0,6.0
2020-02-04,27552.0,3.0
2020-02-05,26112.0,8.0
2020-02-06,26400.0,4.0
2020-02-07,26496.0,2.0
2020-02-10,25824.0,5.0
2020-02-11,24960.0,5.0
2020-02-12,24480.0,6.0
2020-02-13,24096.0,6.0
2020-02-14,24576.0,3.0
2020-02-18,25728.0,2.0
2020-02-19,28992.0,10.0
2020-02-20,28320.0,6.0
2020-02-21,28320.0,3.0
2020-02-24,26304.0,14.0
2020-02-25,28800.0,14.0
2020-02-26,34368.0,25.0
2020-02-27,32448.0,11.0
2020-02-28,32448.0,8.0
2020-03-02,31680.0,6.0
2020-03-03,30912.0,3.0
2020-03-04,30912.0,5.0
2020-03-05,30240.0,6.0
2020-03-06,28032.0,6.0
2020-03-09,27264.0,4.0
2020-03-10,25824.0,7.0
2020-03-11,24432.0,3.0
2020-03-12,19680.0,11.0
2020-03-13,19104.0,20.0
2020-03-16,18144.0,15.0
2020-03-17,17510.400390625,12.0
2020-03-18,17472.0,20.0
2020-03-19,21504.0,20.0
2020-03-20,21120.0,38.0
2020-03-23,18336.0,13.0
2020-03-24,18432.0,10.0
2020-03-25,24000.0,18.0
2020-03-26,22848.0,6.0
2020-03-27,22080.0,10.0
2020-03-30,21120.0,3.0
2020-03-31,21120.0,4.0
2020-04-01,21600.0,5.0
2020-04-02,19872.0,2.0
2020-04-03,28224.0,29.0
2020-04-06,29664.0,166.0
2020-04-07,29184.0,69.0
2020-04-08,27840.0,39.0
2020-04-09,30624.0,60.0
2020-04-13,28608.0,19.0
2020-04-14,29760.0,62.0
2020-04-15,31680.0,21.0
2020-04-16,31680.0,21.0
2020-04-17,29952.0,12.0
2020-04-20,27840.0,33.0
2020-04-21,27648.0,11.0
2020-04-22,27552.0,10.0
2020-04-23,28704.0,10.0
2020-04-24,28704.0,7.0
2020-04-27,28512.0,10.0
2020-04-28,28224.0,8.0
2020-04-29,27168.0,25.0
2020-04-30,26016.0,14.0
2020-05-01,23040.0,24.0
2020-05-04,23136.0,25.0
2020-05-05,26592.0,36.0
2020-05-06,26880.0,16.0
2020-05-07,26688.0,10.0
2020-05-08,26688.0,11.0
2020-05-11,30912.0,39.0
2020-05-12,43680.0,129.0
2020-05-13,34848.0,497.0
2020-05-14,39264.0,177.0
2020-05-15,31392.0,118.0
2020-05-18,29376.0,57.0
2020-05-19,29664.0,32.0
2020-05-20,29088.0,36.0
2020-05-21,26976.0,47.0
2020-05-22,26016.0,27.0
2020-05-26,26976.0,44.0
2020-05-27,27168.0,31.0
2020-05-28,25920.0,31.0
2020-05-29,31680.0,182.0
2020-06-01,33264.0,262.0
2020-06-02,29952.0,79.0
2020-06-03,31584.0,48.0
2020-06-04,30624.0,44.0
2020-06-05,30144.0,47.0
2020-06-08,31488.0,46.0
2020-06-09,28896.0,88.0
2020-06-10,28320.0,23.0
2020-06-11,27072.0,70.0
2020-06-12,26304.0,35.0
2020-06-15,25824.0,69.0
2020-06-16,26112.0,32.0
2020-06-17,26016.0,38.0
2020-06-18,26016.0,73.0
2020-06-19,24672.0,39.0
2020-06-22,23808.0,45.0
2020-06-23,24480.0,18.0
2020-06-24,23616.0,28.0
2020-06-25,23328.0,17.0
2020-06-26,22080.0,22.0
2020-06-29,23328.0,21.0
2020-06-30,23040.0,15.0
2020-07-01,24096.0,58.0
2020-07-02,22848.0,29.0
2020-07-06,23328.0,15.0
2020-07-07,23616.0,165.0
2020-07-08,24384.0,27.0
2020-07-09,23520.0,30.0
2020-07-10,23520.0,18.0
2020-07-13,22560.0,21.0
2020-07-14,22176.0,22.0
2020-07-15,23232.0,22.0
2020-07-16,23616.0,8.0
2020-07-17,23328.0,17.0
2020-07-20,22656.0,15.0
2020-07-21,23040.0,35.0
2020-07-22,22848.0,11.0
2020-07-23,22848.0,16.0
2020-07-24,22464.0,9.0
2020-07-27,22464.0,11.0
2020-07-28,21984.0,9.0
2020-07-29,21600.0,27.0
2020-07-30,22080.0,12.0
2020-07-31,21312.0,8.0
2020-08-03,25344.0,254.0
2020-08-04,26496.0,148.0
2020-08-05,27648.0,125.0
2020-08-06,28896.0,169.0
2020-08-07,29568.0,61.0
2020-08-10,29376.0,58.0
2020-08-11,30816.0,440.0
2020-08-12,23328.0,143.0
2020-08-13,23616.0,34.0
2020-08-14,21600.0,44.0
2020-08-17,21984.0,39.0
2020-08-18,22368.0,30.0
2020-08-19,22656.0,170.0
2020-08-20,21600.0,26.0
2020-08-21,21600.0,144.0
2020-08-24,20544.0,72.0
2020-08-25,21696.0,40.0
2020-08-26,20160.0,33.0
2020-08-27,16992.0,185.0
2020-08-28,17760.0,49.0
2020-08-31,17472.0,48.0
2020-09-01,17280.0,44.0
2020-09-02,17472.0,39.0
2020-09-03,17088.0,39.0
2020-09-04,16992.0,54.0
2020-09-08,16896.0,24.0
2020-09-09,18720.0,257.0
2020-09-10,19488.0,183.0
2020-09-11,18336.0,45.0
2020-09-14,18240.0,29.0
2020-09-15,18240.0,36.0
2020-09-16,18432.0,46.0
2020-09-17,18624.0,28.0
2020-09-18,17856.0,35.0
2020-09-21,18528.0,382.0
2020-09-22,19104.0,92.0
2020-09-23,17856.0,44.0
2020-09-24,17760.0,60.0
2020-09-25,18528.0,15.0
2020-09-28,17568.0,56.0
2020-09-29,17280.0,23.0
2020-09-30,17568.0,27.0
2020-10-01,17376.0,22.0
2020-10-02,17184.0,28.0
2020-10-05,17376.0,16.0
2020-10-06,16992.0,13.0
2020-10-07,17952.0,19.0
2020-10-08,17664.0,14.0
2020-10-09,17568.0,12.0
2020-10-12,17664.0,19.0
2020-10-13,17472.0,13.0
2020-10-14,17376.0,24.0
2020-10-15,17280.0,5.0
2020-10-16,17184.0,11.0
2020-10-19,16320.0,53.0
2020-10-20,16032.0,27.0
2020-10-21,16512.0,30.0
2020-10-22,17760.0,50.0
2020-10-23,16896.0,14.0
2020-10-26,16320.0,27.0
2020-10-27,17664.0,60.0
2020-10-28,16896.0,28.0
2020-10-29,16800.0,14.0
2020-10-30,15936.0,22.0
