ticker,composite_score
EXPE,2.884674824729479
ISRG,2.8337635190846413
LULU,2.808494145444018
INCY,2.629351059903485
F,2.6196577624600734
TT,2.592048619261848
MAS,2.5785465313307654
POOL,2.2512434084217894
WYNN,2.125589905421073
HOG,2.042721039177364
EMN,1.9933916290279536
WHR,1.959783190256188
MU,1.9455646283480683
IP,1.93028549771213
COF,1.9101927880134046
SWKS,1.8908855570584122
SBUX,1.85847420565135
CBRE,1.8474980667638699
AN,1.7995832130794334
STX,1.77966414308009
FCX,1.7745815740122342
ROK,1.7333606761067597
NYT,1.660300790806199
DD,1.6479741828547565
PVH,1.6190893842784044
CMI,1.5467755629418254
CAT,1.5205909301123066
TXT,1.5188479669983217
KLAC,1.500346215998477
NFX,1.4888706279013093
CNC,-1.10608668619405
ARE,-1.106934208721822
FSLR,-1.1207695365780732
KEY,-1.1226549681565545
CSGP,-1.1243706012018364
NOC,-1.14240099940963
TDY,-1.1450641925305094
MNST,-1.1715710517318376
NDAQ,-1.1942767768055917
PRGO,-1.1966449483389165
BRO,-1.2109126009515776
JBHT,-1.2145110598152513
LDOS,-1.21513159403829
SYK,-1.2273538423038421
SLM,-1.2998746699202006
MCD,-1.3133244953926746
AME,-1.3156237660049026
BK,-1.3470110092765935
HRB,-1.3822647101827799
KR,-1.4184238760170622
ABT,-1.4200467156947492
ICE,-1.462444330897324
LMT,-1.487088879405524
MCO,-1.5342348196401616
BDX,-1.5645445647312395
PNC,-1.6081699944419126
KIM,-1.682588366119393
AKAM,-1.9259603415161943
ATI,-2.0602270234062754
TMUS,-2.1687699698567395
