Price,Close,High,Low,Open,Volume
Ticker,ABBV,ABBV,ABBV,ABBV,ABBV
Date,,,,,
2020-01-02,69.26616668701172,69.2816339205641,68.46173481303484,68.9026247351761,5639200
2020-01-03,68.60871124267578,69.14242240263,67.98992142512469,68.19876158699577,5988500
2020-01-06,69.150146484375,69.32031557138512,68.05178988801983,68.23742620963438,6786600
2020-01-07,68.75563049316406,69.2584009402356,68.26833317439775,68.78657084850516,7242500
2020-01-08,69.24295806884766,69.66064419656374,68.74019330335366,68.95676998410897,7696800
2020-01-09,69.7766342163086,69.79210734363856,68.87938757304768,69.62193835062295,7518000
2020-01-10,68.88714599609375,69.83854306714154,68.70924626899082,69.79213546898798,8581400
2020-01-13,68.46946716308594,69.22749145377635,68.00537342856641,69.22749145377635,9292200
2020-01-14,69.14364624023438,69.331796529228,68.02260952089613,68.28131168251258,8876900
2020-01-15,69.97463989257812,70.46067993315687,69.12798139602066,69.12798139602066,8490100
2020-01-16,69.97463989257812,70.39796914085684,69.70809659655046,70.01383339014053,7073200
2020-01-17,68.98686218261719,69.98246540293093,68.82223516103775,69.87271405521129,10122300
2020-01-21,68.97901916503906,69.40234834341874,68.64976513107699,68.73599918487655,13552000
2020-01-22,68.3675537109375,69.12013701169596,68.32051912370272,69.01038565414788,6438900
2020-01-23,66.8467025756836,68.25779995310985,66.62719986830622,68.24212375158298,12266800
2020-01-24,65.490478515625,67.01132705305375,64.8790050569473,66.97212758272849,13215400
2020-01-27,65.86676788330078,67.3640991484145,65.85109168358733,66.67423272203197,13832000
2020-01-28,65.6707992553711,66.62720916902404,65.56888897871994,66.62720916902404,8614400
2020-01-29,65.22395324707031,65.85110905908105,65.16907756209446,65.69432309657891,5703200
2020-01-30,64.1107406616211,64.90252332229713,63.64037691564506,64.7378963102555,10870000
2020-01-31,63.51493453979492,64.06369715110463,63.03673575109458,63.92258744888199,13870100
2020-02-03,64.51839447021484,64.75357335577479,63.4365512612404,63.74228799916806,10143700
2020-02-04,66.13330078125,66.40767909081094,65.52966251921734,65.52966251921734,8251500
2020-02-05,67.91285705566406,68.31266893692944,66.54095928796879,66.682069011886,10020600
2020-02-06,68.34402465820312,68.95549811104813,67.59144148693241,68.90062244171587,7769700
2020-02-07,72.3499755859375,72.89089723828067,69.67673168893737,70.35092198632155,19090300
2020-02-10,74.27848052978516,74.86643684004731,72.20887479614245,72.40486023289651,13998300
2020-02-11,75.25838470458984,76.10504296795625,74.4822842870035,74.67826966383836,10682800
2020-02-12,76.66166687011719,76.71654255510936,75.03106654320555,75.24273417174754,10591000
2020-02-13,74.74885559082031,76.32458041329222,74.6547863949127,75.92476838767958,10613000
2020-02-14,73.72972869873047,74.70965594894751,73.51021997064078,74.65478026217541,11175800
2020-02-18,73.38478088378906,74.08248849804193,73.11040249295935,73.43181547050263,9406300
2020-02-19,73.80028533935547,74.30984873846204,72.92226831349488,73.51022470146363,6349100
2020-02-20,73.87084197998047,73.99626956386086,72.58517186394658,73.63565703632757,5446200
2020-02-21,74.44308471679688,74.88209004638318,73.20445570146519,73.65914321053617,6676000
2020-02-24,73.01631164550781,73.58859157852717,72.24021122653555,72.25588742507075,10705100
2020-02-25,69.91192626953125,73.26719603929959,69.07310882708917,73.15744467157826,11366400
2020-02-26,69.30828857421875,71.47980445177711,69.13582044324289,69.47291561351375,9786900
2020-02-27,66.96429443359375,70.12357833207983,66.00788466183367,67.56793285458994,14184100
2020-02-28,67.19164276123047,67.19164276123047,63.95396567546796,64.90253441999886,18450000
2020-03-02,69.52778625488281,69.59833813189641,65.4983266869929,67.41898132058631,12171100
2020-03-03,68.64976501464844,71.26029195306253,67.15243968312244,70.11573794575479,12660900
2020-03-04,71.92665100097656,72.01288506648774,69.73161184778361,69.98247295263418,16590400
2020-03-05,71.03295135498047,71.89528594913641,70.10789999517684,70.60178106740253,9688400
