Price,Close,High,Low,Open,Volume
Ticker,EFX,EFX,EFX,EFX,EFX
Date,,,,,
2020-01-02,135.6606903076172,135.84171329007236,132.89774926139685,134.02197583377267,832900
2020-01-03,136.11798095703125,136.28948174409194,133.56464432600697,133.56464432600697,710600
2020-01-06,136.6991729736328,136.74681289574733,135.01283312455152,135.39392342614136,729200
2020-01-07,136.44192504882812,137.0135604236503,135.63209009575363,136.79443425685153,578100
2020-01-08,139.36683654785156,140.28147354465816,136.72774209954378,136.77538201750508,1165600
2020-01-09,140.98651123046875,141.25327736225415,139.62409952439785,140.1290507408248,703100
2020-01-10,139.78604125976562,141.3008946665409,139.55737838155628,141.3008946665409,591200
2020-01-13,141.5676727294922,141.8153945029201,139.87179621790403,139.87179621790403,571300
2020-01-14,140.2242889404297,141.6819947512466,140.1576046892083,141.24372788367074,662900
2020-01-15,142.69190979003906,143.07300007090655,139.7955713198618,140.28147814627954,681100
2020-01-16,143.8828125,144.03523986581826,142.33936366818722,143.6827306844772,560900
2020-01-17,145.7978515625,146.35996486825945,143.34931647355498,144.26393904942398,836700
2020-01-21,147.04588317871094,147.17926619273064,144.58781231664113,145.32142616257852,910000
2020-01-22,147.4365234375,148.08437969649935,146.45520234435364,147.3698246556068,678100
2020-01-23,147.62710571289062,147.71284885034927,145.41675578942042,146.80774847818265,474000
2020-01-24,146.73150634765625,148.05581458439465,145.95978914650337,147.97960816497553,589000
2020-01-27,145.7978515625,146.2551628504345,143.29213984210742,144.4544842079247,476900
2020-01-28,147.34124755859375,147.91289742166416,145.79781328102757,146.30276436042044,1033400
2020-01-29,147.12213134765625,148.34163756942505,146.7600854407477,147.91290741199492,487800
2020-01-30,145.5120086669922,146.90301577460124,143.87329433755113,146.06459973507458,760000
2020-01-31,142.8157501220703,145.23571837043457,141.9392308828528,144.45446442859142,751400
2020-02-03,145.07376098632812,145.30240934072413,143.42550989752402,143.57795182556296,527400
2020-02-04,147.9986572265625,148.45598298364592,146.47428164926913,146.90301182608096,579600
2020-02-05,148.52264404296875,149.66592918181172,147.76998580900874,149.02759510043822,493000
2020-02-06,148.59889221191406,149.53257355028018,148.3892882020026,149.4754114635156,472800
2020-02-07,148.2559051513672,148.8275550943281,147.86527817493263,148.17968418979493,479900
2020-02-10,147.40797424316406,148.33213345870905,146.41711623131704,147.75096131839376,606900
