Price,Close,High,Low,Open,Volume
Ticker,GD,GD,GD,GD,GD
Date,,,,,
2020-01-02,154.375732421875,154.90349846383145,153.06930123029068,153.52785053867586,1472100
2020-01-03,155.88975524902344,156.10605250952108,154.00364947431785,154.00364947431785,1662200
2020-01-06,157.54226684570312,158.31228455209225,156.59921397416505,157.0750705796273,1957000
2020-01-07,155.75131225585938,157.14426693780385,155.51770755220193,156.09738254134547,1454600
2020-01-08,156.1492919921875,157.41247361935447,155.38793472265846,155.90704015164619,1226400
2020-01-09,157.1269989013672,158.25174741410785,156.5646312458661,156.59923300240558,1581600
2020-01-10,155.31007385253906,157.28270373183423,155.22356287290407,157.04045186607775,831700
2020-01-13,156.71168518066406,157.54225921383798,155.76861915307435,155.94166751157712,898000
2020-01-14,156.57330322265625,157.0578071014992,155.43990739141847,156.5992578446128,917900
2020-01-15,157.1269989013672,158.29500951108605,156.65980257852274,156.65980257852274,1174700
2020-01-16,158.70181274414062,159.28477518439544,157.57942085934027,157.94485108407298,1289900
2020-01-17,158.25811767578125,159.32830740167478,157.90138334171482,159.03248475814416,1820000
2020-01-21,159.4761962890625,160.5811963330461,157.3271211593662,157.88396917086195,2074800
2020-01-22,159.31085205078125,161.46863588074564,159.30214279770976,159.97210474549442,1058700
2020-01-23,160.6333770751953,161.372946756451,158.39728935206227,159.11074454721177,1146700
2020-01-24,161.02490234375,161.66874980962714,160.3810416015724,161.16410435380695,925500
2020-01-27,158.84976196289062,159.85903990754184,157.99707802985674,158.66704018401066,1132300
2020-01-28,159.7720184326172,160.68558737315763,157.27489193640562,159.29347410224196,1533900
2020-01-29,159.63279724121094,160.45936653978575,156.27430435036516,160.02432866934615,2033200
2020-01-30,157.683837890625,159.65021775000437,156.37002817565036,158.61482539507514,1842500
2020-01-31,152.64613342285156,157.40545013819118,152.08057606500165,156.8225008195257,2365700
2020-02-03,153.67276000976562,155.41291134322935,152.42855817896358,154.14260830452943,1605300
2020-02-04,156.20468139648438,157.18787113578355,155.7435423610947,155.9523652979187,1882500
2020-02-05,160.06787109375,160.4942130820882,156.68327623194958,157.49244048023644,1273300
2020-02-06,161.94720458984375,162.97388760851973,161.1380272337003,161.52955866834282,1319600
2020-02-07,162.47793579101562,163.83525171531346,161.4773408022978,161.64265730420865,1715400
2020-02-10,162.05162048339844,163.98318985408335,161.25984830573051,162.277835415745,1239900
2020-02-11,162.6519775390625,163.90488885658115,161.29466137051847,162.64326828394135,1599100
2020-02-12,164.226806640625,164.226806640625,162.21693367429125,163.01740181416469,1447900
2020-02-13,164.81845092773438,165.38400815839097,163.20881867810326,163.41764164767994,1546000
2020-02-14,163.62644958496094,164.79234794757033,162.37353833355263,164.75755075783246,1351800
2020-02-18,163.6960906982422,164.20943232868916,162.4344832106178,162.84341997420927,1139900
2020-02-19,162.3126678466797,164.1746298109887,162.12125007944468,163.77438904050504,1191200
2020-02-20,161.7906036376953,163.00871780842604,160.4680846121006,161.89502176886333,1247900
2020-02-21,163.2262420654297,163.45245701707032,159.7546344893072,160.88573580011916,1416900
2020-02-24,160.6246795654297,161.52955247471408,158.42338905092925,159.31956598246254,1857900
2020-02-25,151.32357788085938,161.52086707219235,150.7580339350666,160.92051266051226,2780100
2020-02-26,149.26150512695312,153.86420023597876,148.97437852175563,152.4807829097296,2737400
2020-02-27,144.55435180664062,150.25334933256312,144.02360518839717,147.1993756454986,2809100
2020-02-28,138.94239807128906,142.4227010570009,135.27067735925888,139.71676495455785,3827400
2020-03-02,143.58860778808594,143.7626202923117,137.12395098579222,139.699367911461,2233200
2020-03-03,140.12571716308594,148.07820983663808,139.84728652071468,143.46680521371837,2418200
