Price,Close,High,Low,Open,Volume
Ticker,HUM,HUM,HUM,HUM,HUM
Date,,,,,
2020-01-02,344.5971984863281,349.0180338846079,342.0262936067766,348.31602262888595,678000
2020-01-03,346.13409423828125,352.9076583516593,345.6787480466654,347.9745289662199,891400
2020-01-06,351.5321044921875,351.61751086381423,344.84394600575087,345.55545345968295,956800
2020-01-07,348.0409240722656,350.0616095400311,344.454928254542,350.0616095400311,669200
2020-01-08,355.7536315917969,357.08177269281197,348.5342184579869,349.2836519302676,1201700
2020-01-09,345.8020935058594,354.57735146650055,344.5593295594301,353.85634803450426,1760800
2020-01-10,345.43212890625,350.1375568713719,344.0186099959687,347.29152698942255,1035700
2020-01-13,338.5636901855469,346.0297699663185,336.5619676198882,344.5687999799018,1732000
2020-01-14,338.9146423339844,342.8801027193478,336.969867303493,337.975461966742,1377100
2020-01-15,345.3846435546875,350.28928460911516,337.624477109313,339.7589991308043,1126800
2020-01-16,348.2875671386719,348.95162323983163,345.09053234166834,347.319898693576,529700
2020-01-17,347.7374572753906,349.17946448970906,343.4209895671591,345.79268148405936,882800
2020-01-21,346.1436767578125,350.9439787359312,343.36406086382084,344.6163211062822,849400
2020-01-22,346.9500732421875,349.2079286114656,342.40590335827557,348.2592518311852,561000
2020-01-23,344.9197998046875,348.8093793653092,343.25014879991176,346.8741000903662,709000
2020-01-24,338.5826416015625,345.74516664342775,336.01173635844236,345.74516664342775,973900
2020-01-27,329.10528564453125,334.7498920347075,326.46796679326206,334.33250111447313,1295000
2020-01-28,334.7404479980469,338.8671958135418,328.25150539114554,330.2342354417567,999600
2020-01-29,333.52618408203125,336.8844778459967,330.43348961280043,334.0099893811711,1581300
2020-01-30,325.6236877441406,332.5205839016108,322.56894848922445,330.4714393438434,1225100
2020-01-31,318.9830322265625,324.00153988529576,315.82395167414336,322.9769818267938,1519600
2020-02-03,315.9946594238281,323.7643224596618,315.20727064868345,321.7436368344092,1354700
2020-02-04,325.1589050292969,328.41285882277765,318.49920571200073,319.81785113285656,1410100
2020-02-05,346.0771789550781,349.04654106090726,331.49602564174984,331.49602564174984,1572900
2020-02-06,340.7171630859375,347.927110358753,329.4848366714849,347.927110358753,1193700
2020-02-07,335.1295166015625,342.64301932137016,334.503386549693,340.7172069146421,938600
2020-02-10,334.88287353515625,337.90915451012023,333.0708975724654,333.61165023725425,748300
2020-02-11,338.8387756347656,339.1613221490868,333.74435885058773,335.7176220516561,648400
2020-02-12,354.67218017578125,355.9339361256253,342.9370565763647,342.9370565763647,1581100
2020-02-13,360.68682861328125,361.48371342504595,351.0956938316111,351.0956938316111,1344300
2020-02-14,356.56005859375,360.4970601711469,351.76922502858525,360.1934767511098,837700
2020-02-18,353.02154541015625,365.2405051228396,351.01035557259905,357.61313685754294,1029800
2020-02-19,359.0929870605469,359.7570721331918,351.96844685338107,353.38196545076596,539300
2020-02-20,351.9494934082031,355.77265863137575,347.5191902660183,354.7860558940672,822200
2020-02-21,350.697265625,352.3953757689568,344.67316386852815,349.53038307049087,526300
2020-02-24,328.39385986328125,337.67191485118923,327.9005585070307,334.88280363231115,1213000
2020-02-25,314.9796142578125,331.69532132755376,312.7692103784006,331.69532132755376,1253600
2020-02-26,311.8015441894531,318.93558164634504,307.0107100911677,315.99467845900443,1250500
2020-02-27,298.1975402832031,309.2496472183269,296.41405237095626,305.720568666322,1484800
2020-02-28,303.27288818359375,303.3677616212315,288.5304766262903,291.10138176381616,2130100
2020-03-02,327.63494873046875,329.16233316733155,297.56191677510714,304.9995381185209,1856200
2020-03-03,308.6708679199219,335.49943815989104,306.05251151764793,327.11314138091836,1914900
2020-03-04,353.23016357421875,355.4595588809533,339.1613054492616,340.20482631720444,3319300
2020-03-05,351.5794982910156,359.8993803381391,343.2785793504285,345.7925661536019,2270000
2020-03-06,348.1737976074219,349.37860643019,333.38393333882726,340.1005507233217,2131900
2020-03-09,319.8937072753906,330.90782685153124,306.707081593115,319.4098730263804,2165800
2020-03-10,331.372802734375,338.97171335196737,324.570806125362,328.5552314116636,1816900
2020-03-11,311.3745422363281,332.5679677052242,309.0028514414476,324.4852558987406,2243700
2020-03-12,278.00970458984375,300.8064052900883,276.28313494148745,289.8492006216205,1726100
2020-03-13,297.799072265625,298.44416539942983,265.68636385808,291.2437135452217,2184500
2020-03-16,256.3419494628906,277.2982164550547,238.2412088969243,247.65206651967347,2795300
2020-03-17,258.5902404785156,263.5897844107372,248.59121051669374,261.84422303817263,2568200
2020-03-18,233.9246063232422,246.00125169978585,218.1955513619017,244.57823723438213,3177900
2020-03-19,243.0414276123047,247.91760962239061,222.95794844255406,233.92464613981474,1912300
2020-03-20,218.7742919921875,259.7571145991968,218.46122700474535,247.61406677167912,3308800
2020-03-23,203.42474365234375,227.47370447560945,197.56192842693358,219.00202825056388,3564600
2020-03-24,222.04721069335938,231.41064275432026,206.90634244481217,215.87133212824855,3403200
2020-03-25,255.2034912109375,266.8437422043377,214.0498973187004,217.41768753331422,3035200
2020-03-26,288.85308837890625,291.2057880362574,256.1806609287379,258.3626057305681,2204100
2020-03-27,281.8233337402344,288.39765491212086,274.1675074657991,275.2490125683479,1918700
2020-03-30,295.8791198730469,303.2373482492733,283.3682110158607,284.55655689121255,1635900
2020-03-31,298.5314025878906,302.1725095676023,283.85295616391863,296.66808490552717,2504200
2020-04-01,284.0146789550781,287.5511976242346,273.80441994789254,285.20302489212867,1607700
2020-04-02,285.3075866699219,291.80072514558736,273.6998316289563,278.5482888760265,1068700
2020-04-03,277.2458190917969,284.25230093096246,271.4086508925722,279.1946944999298,1198700
2020-04-06,311.31805419921875,314.5218295637798,286.42934882653634,290.1655007435995,1559200
2020-04-07,304.2640075683594,327.98339826523227,302.3721705840552,323.31557308670074,1747300
2020-04-08,320.6252746582031,328.93418080854656,303.5796171698045,308.79885265727745,1619600
2020-04-09,325.03631591796875,328.21157220409833,316.08095880832684,320.1498533979455,2190100
2020-04-13,331.0826416015625,331.8146521382366,320.89138730133163,326.73804258182696,1380300
2020-04-14,334.8377685546875,346.08428801872236,333.9631624043266,338.69751289993104,1497300
2020-04-15,336.10223388671875,341.6066308491858,327.9359248736981,331.7861537347346,1431300
2020-04-16,358.6998291015625,361.58989443931284,335.8550687951357,338.440910621049,1451100
2020-04-17,355.163330078125,364.74616814115325,347.6339863266696,362.7972633604255,1441300
2020-04-20,349.212158203125,358.9565971338624,347.94777059998904,349.0030081094831,1172400
2020-04-21,341.1598205566406,345.3143020319826,338.4504152198023,342.7189442427854,980300
2020-04-22,349.0599670410156,357.66357933289197,346.32201357883736,347.16810073199196,1072200
2020-04-23,348.01422119140625,357.2738028233584,345.23823250457184,352.444378026904,1233400
2020-04-24,350.8851318359375,351.57913601844297,345.40922675576473,351.57913601844297,941200
2020-04-27,355.09674072265625,356.3896760853344,348.68918922574966,354.03198749006816,704700
2020-04-28,344.97198486328125,360.4299943934782,341.73017444208887,360.1447740294983,1302400
2020-04-29,358.766357421875,367.68370900612507,346.99697589873125,361.25712559319965,1760600
2020-04-30,362.98736572265625,373.21662675549277,354.4883141446581,355.8477747921557,1693800
2020-05-01,353.87994384765625,362.36951022722377,347.2252058508766,355.1253282089223,1089500
2020-05-04,359.20361328125,359.52683981696987,346.77826418646185,353.97489241475887,778300
2020-05-05,365.1168212890625,369.55649339485495,357.0075517486405,359.9736578436943,876100
2020-05-06,356.49420166015625,369.4424120454048,355.2583337103673,367.61712925764425,735300
2020-05-07,353.100341796875,364.0901617891805,351.959518187095,361.25713486604826,645700
2020-05-08,358.88037109375,361.13346970870793,355.79067253466474,358.49059025558415,926600
2020-05-11,361.29522705078125,363.7955117311193,357.0457005018934,357.70166982914384,736100
2020-05-12,364.7841491699219,372.7888597655149,364.1091768350174,364.1091768350174,1148500
2020-05-13,358.8043518066406,374.23381345345734,353.8513061538159,367.47451719289865,982800
2020-05-14,366.7805480957031,368.7389396314281,354.61189884339757,354.66893712017804,754100
2020-05-15,378.578369140625,379.1487808011319,366.21957554979156,366.21957554979156,963700
2020-05-18,373.0169677734375,392.34423903272625,371.71454549131306,387.8665314193758,1063800
2020-05-19,375.013427734375,382.5903219660628,368.8530324591467,371.7621007526949,759300
