Price,Close,High,Low,Open,Volume
Ticker,KLAC,KLAC,KLAC,KLAC,KLAC
Date,,,,,
2020-01-02,169.70150756835938,169.82233483614738,167.33124221903103,168.03766829330235,1056900
2020-01-03,166.45748901367188,168.40017127241592,165.32347998019284,166.68986768146235,833400
2020-01-06,162.71153259277344,165.04460911883305,161.8191923414768,163.89202009902266,1266800
2020-01-07,164.00355529785156,165.2398113952638,162.0143946575136,163.72469808629134,1139300
2020-01-08,164.21731567382812,166.06705452960753,163.14837973292572,164.0592999198065,883500
2020-01-09,163.12051391601562,166.7734992991894,162.61856811506158,165.83469470718745,916900
2020-01-10,160.81532287597656,164.92377588573652,159.83003962619145,163.9756811642081,883800
2020-01-13,162.7580108642578,162.76730090420918,161.14065036689243,161.7076548358021,662000
2020-01-14,164.9702606201172,165.6581065858958,161.80062635625947,163.510929955026,1279600
2020-01-15,165.37925720214844,166.10427754874382,163.45516910795882,164.60775828292122,922800
2020-01-16,168.15847778320312,169.01362945266044,166.3923916582939,166.84785888601988,1197200
2020-01-17,166.13214111328125,168.14918610089683,164.8587106451238,168.12130179745304,1604700
2020-01-21,166.20651245117188,168.13990462695537,165.05392336139548,165.12827205218852,1571400
2020-01-22,167.43350219726562,169.89671069591867,167.1918192766861,167.31266073697586,1084600
2020-01-23,169.68289184570312,169.7851390182981,166.49464941534512,167.145320977277,1056900
2020-01-24,166.7548828125,171.49541207152274,165.85325268212404,170.91911766445278,961000
2020-01-27,158.30563354492188,162.87884379881072,157.87806475996936,162.4512750138582,1581300
2020-01-28,163.52951049804688,163.90132487922037,159.59766738129036,160.06242472030593,938100
2020-01-29,159.61622619628906,164.46829287265595,159.56045759731603,163.91988273840084,1028900
2020-01-30,160.7316436767578,163.00895133731692,157.61777864971265,161.27076378217134,1448000
2020-01-31,154.05772399902344,160.5736149316646,153.60225683043458,159.30018472381784,1505700
2020-02-03,157.9523468017578,158.62159818416194,155.23816694345737,155.47984972131871,1181500
2020-02-04,166.1972198486328,166.1972198486328,161.58682101079467,162.0422882886719,1735900
2020-02-05,159.20724487304688,165.25837925510348,156.90205284892042,163.65032311669506,3113100
2020-02-06,159.6348114013672,161.168504519184,158.15687269609535,159.3466500175778,1370300
2020-02-07,153.46282958984375,159.19793160417578,153.1467839218193,158.67740582144916,1492800
2020-02-10,157.0135955810547,157.09724848630276,152.51474857744955,152.5333428397046,1680300
2020-02-11,160.84320068359375,161.29866794509977,156.4651948455188,157.2831722349117,1269000
2020-02-12,163.56666564941406,164.0221328546806,161.5960994727594,161.73552097270553,957700
2020-02-13,166.1228790283203,167.38701966914803,162.58143006233212,163.29714621551963,1158000
2020-02-14,163.85482788085938,167.08953462530377,162.5628031910334,166.49464586559827,864800
2020-02-18,157.30174255371094,159.87650181589783,154.9221875867039,155.2289290886915,1778300
2020-02-19,160.78741455078125,162.49773201338297,158.94697980852328,160.0716985963433,1069300
2020-02-20,156.2757110595703,161.05832231458905,154.75311591644117,160.42313799310315,1664400
2020-02-21,150.5029754638672,155.29493811534252,150.2134052282117,154.75315556821215,1909900
2020-02-24,143.59991455078125,146.52366688413858,142.82460592312938,144.55270535568326,2649600
2020-02-25,137.69638061523438,145.7110008476331,137.37878843026107,145.04778022295878,2046900
2020-02-26,137.56561279296875,140.72287720780798,136.58479993862593,139.18161004620325,1879300
2020-02-27,138.23817443847656,138.6024747402264,132.89509384394017,133.39950416432146,3589700
2020-02-28,143.5812225341797,143.78671243055825,132.72691752625434,132.72691752625434,3695100
2020-03-02,148.27975463867188,148.52261667941116,141.71300109178986,144.3191463960316,2706400
2020-03-03,143.67465209960938,148.7935422378241,142.33888912282632,146.47696640388358,2397400
2020-03-04,150.11996459960938,150.11996459960938,144.46862861544477,146.738496073761,1493300
2020-03-05,146.36483764648438,148.41052879963686,144.30046041224588,146.32746548431243,1697000
2020-03-06,145.42141723632812,145.8511116827308,141.50753039817033,142.0306267654035,1858400
2020-03-09,135.37042236328125,140.57339126731785,134.75390997279047,135.42646635272524,2815600
2020-03-10,144.38453674316406,144.5620046221154,135.98693231188307,138.7238516048102,2438500
2020-03-11,135.37042236328125,142.18938806060115,133.22197916367315,140.23711307735047,2730500
2020-03-12,117.09935760498047,129.840544255296,116.99660552500592,126.32831595914851,2672700
2020-03-13,135.79080200195312,136.15510228178695,119.46265507644908,124.06779887363797,2804300
2020-03-16,120.966552734375,131.22301784787743,117.87466860910641,120.20993024490515,2752300
2020-03-17,139.77005004882812,140.52667235457986,117.36087970176253,123.18034629420225,3213600
2020-03-18,123.32050323486328,133.69840674849004,118.96757202678945,123.53534331927541,2664600
2020-03-19,118.96757507324219,126.4964566690877,118.4071136789916,123.18973230501332,1954800
2020-03-20,106.5066146850586,123.81558075054896,105.6285611137864,121.16272682516613,2632600
2020-03-23,108.69243621826172,112.73711175434107,102.92901125326374,106.78686155142533,2124900
2020-03-24,127.37449645996094,127.55197860422581,112.09254551759645,113.68052039510155,2776100
2020-03-25,128.411376953125,136.3232450689837,125.53433270614848,126.77669369370471,1703000
2020-03-26,139.89146423339844,140.5546846023995,129.89655040269466,131.49387513444006,1870400
2020-03-27,132.86708068847656,137.47221081607702,132.00770592592158,135.4825628991617,2240600
2020-03-30,139.66734313964844,140.64815595624188,132.64287158319016,132.70826575583965,1623700
2020-03-31,134.2682342529297,140.9003700363024,132.20385629398925,140.9003700363024,2907200
2020-04-01,122.9375228881836,131.91426982619424,121.11602153308401,129.5603219385926,1660800
2020-04-02,123.71282958984375,124.97386239143552,120.78907729790254,121.03195364367045,1346000
2020-04-03,119.50935363769531,124.22658506701598,117.28617996431865,122.1995796455927,1143700
2020-04-06,138.7145538330078,139.3777744695905,124.1705361955959,126.30030811496349,1846000
2020-04-07,137.56561279296875,144.7862386386678,136.8650342189107,143.94555005112116,1454100
2020-04-08,142.32952880859375,143.05812933550996,137.2293251201803,139.73271887865002,1350000
2020-04-09,140.227783203125,147.46709412220585,138.705202340779,142.12401447134238,1303800
2020-04-13,142.06793212890625,142.3761882855606,138.41558057214615,139.64860519876356,868300
2020-04-14,151.07273864746094,151.642543045018,143.6746316476862,144.87963460884555,1274700
2020-04-15,143.12350463867188,147.86875760720648,141.1525434081713,147.75665536555442,1278600
2020-04-16,146.32748413085938,150.15731880321218,144.0669526437209,147.78469932188176,1563000
2020-04-17,150.58702087402344,151.59584137975102,147.39237034376342,150.32545845207585,998100
2020-04-20,146.0005645751953,149.7743412171578,145.76703840481056,148.3264761101112,634800
2020-04-21,138.79864501953125,144.02028804049894,137.74311616452053,143.32905952989734,1284700
2020-04-22,148.2237091064453,148.85890763767898,141.32067677478804,144.1416766200306,1207500
2020-04-23,148.9429473876953,150.2413519654548,146.66373031518455,147.99950705171113,1404500
2020-04-24,154.052490234375,154.6596666238777,147.60717581430993,150.372116754099,1492500
2020-04-27,155.117431640625,158.08789214080238,153.79100461340872,156.032850299601,1030500
2020-04-28,155.31356811523438,159.5170386063596,155.0146478165016,157.29386520777376,1198900
2020-04-29,164.2996826171875,165.49533554753393,157.12576503510894,158.73241207944983,1518900
2020-04-30,153.27725219726562,163.75790912419993,153.16516418306568,162.4875260344713,1241400
2020-05-01,140.36793518066406,148.41991416160005,137.9766291238957,147.86879573903246,2692500
2020-05-04,141.98390197753906,142.7965684343791,137.81778910858586,139.81677242155848,1473200
2020-05-05,145.37469482421875,150.10126153894547,143.81474194527206,146.15000330656426,1868900
2020-05-06,153.0156707763672,157.98511404224197,148.01821976633076,152.6420346412765,2422700
2020-05-07,153.043701171875,158.50821903058932,152.791503180837,156.34108941889156,1682200
2020-05-08,160.198974609375,161.03032731855663,154.7624777839587,155.83670686539426,1265400
2020-05-11,157.65818786621094,158.7510886391509,156.25703083629202,158.04117420851563,1145800
2020-05-12,154.6597137451172,159.90937731716218,154.51025358032086,159.00329466637996,965300
2020-05-13,153.2585906982422,157.49942047669916,150.07328971572932,154.47291560944672,1805100
2020-05-14,165.10301208496094,165.29918035097245,148.41990093017574,151.8387276846665,2683500
2020-05-15,157.1528778076172,161.08569134457426,155.79188394034884,157.71605459788444,3709900
2020-05-18,161.73336791992188,162.8221689281663,158.42004542315405,161.26405862211132,1492100
2020-05-19,161.9304962158203,166.72683817040638,160.635197874063,161.6395267210045,1074800
2020-05-20,166.99900817871094,169.14845264621584,164.23008636240743,164.7275530406302,1302600
2020-05-21,161.84597778320312,166.37012573568373,161.3109726966368,165.31887762019807,1001800
2020-05-22,162.38101196289062,163.29147311793693,159.94059796174287,163.10375226912157,666400
2020-05-26,165.79757690429688,169.2610815786065,163.96727363150217,166.0510079181245,1911100
2020-05-27,165.88206481933594,167.91886550750985,157.9132018961153,167.1867441291684,1659600
2020-05-28,163.89219665527344,169.15784764922594,162.7564618313222,166.75498629052095,1272000
2020-05-29,165.1593017578125,167.0459196062983,162.9160043303589,165.1968401924605,1792100
2020-06-01,165.1593017578125,167.44951864803105,162.80336038205417,164.25822178227608,1085400
2020-06-02,166.4076690673828,166.65171904578506,162.32468714878615,164.53982740169587,892600
2020-06-03,174.62998962402344,175.47474061691125,167.43078683612248,167.86254336237786,1659800
2020-06-04,174.85525512695312,177.51154752060177,172.41485532628252,173.46610358982164,1068700
2020-06-05,180.665283203125,184.2038789256918,177.70864068427315,178.54401056867948,1500200
2020-06-08,180.09274291992188,182.14831990804495,177.1830339062094,181.7353254400151,816400
2020-06-09,179.30429077148438,180.73099490059926,177.07037416010232,178.84436255085228,776000
2020-06-10,180.93748474121094,183.03059989907686,178.65663443339596,180.6183435796062,779600
2020-06-11,169.4957275390625,179.57649521199934,168.80114470500044,179.57649521199934,1460300
2020-06-12,173.3534698486328,176.77004094669564,169.01705654167927,174.7426213529837,1253100
2020-06-15,176.2256317138672,176.58231134384314,165.74126429141646,167.2993745124687,1270800
2020-06-16,181.1439971923828,184.87969497140884,177.14547304574646,181.9605907390926,1482500
2020-06-17,181.98875427246094,184.25082846731377,180.3743291835536,181.31294775514237,1246200
2020-06-18,181.84799194335938,182.36422077018398,180.26172405012375,182.36422077018398,938000
2020-06-19,181.24725341796875,185.3771694386141,180.26170104512434,184.37284068396974,3331000
2020-06-22,180.0833740234375,181.87613907491024,177.72744637758444,177.72744637758444,1179200
2020-06-23,181.35049438476562,183.1807976730224,180.48695272458994,183.1807976730224,1089200
2020-06-24,177.042236328125,181.15339039267397,174.29209069577539,180.41188799800864,1486600
2020-06-25,180.54330444335938,180.8812077328426,175.9159070157747,179.19169128542646,1133700
2020-06-26,177.93392944335938,181.34110511823522,177.43644842414162,180.8060999801071,1713500
2020-06-29,179.96136474609375,179.98014113086944,175.13686505607285,178.84440616799532,677300
2020-06-30,182.5425567626953,183.837855123389,179.30432518314552,179.30432518314552,1253500
2020-07-01,181.29417419433594,183.2840553361499,180.1396773435296,182.5425386326348,1262000
2020-07-02,184.44793701171875,186.0436000988232,182.3454405015858,182.6176335954215,1247000
2020-07-06,191.09335327148438,193.8341178065172,186.05297607980862,187.15115809978465,1367400
2020-07-07,190.2486114501953,192.72656404805554,189.41324144658063,190.9901138624082,1311300
2020-07-08,191.9569091796875,193.1020251633163,188.83130712491558,190.84934596526443,748700
2020-07-09,191.09335327148438,193.81535574688826,188.3244313248252,190.53957174658913,1083700
2020-07-10,189.8450164794922,191.6659390813989,186.06238419705093,191.10277644470256,994900
2020-07-13,187.3201141357422,195.02616454400948,186.8601858823072,192.37926763479604,1152500
2020-07-14,188.5966033935547,189.27240984163896,182.10136526223906,185.6681183333103,1612000
2020-07-15,184.00677490234375,191.63774832440035,182.38296881521197,189.4695417576478,1454200
2020-07-16,184.00677490234375,185.3583879107564,181.1533808018368,182.07322297393551,989600
2020-07-17,185.09555053710938,186.20312772609267,183.0493692453495,185.8652245202209,824200
2020-07-20,190.54896545410156,191.45004565264432,184.50427342715776,185.20823740901858,756600
2020-07-21,191.0182342529297,192.11641611300334,188.46519094120637,191.3561374654278,921000
2020-07-22,193.29908752441406,194.17199581567257,190.73666314438623,192.40740285378558,947000
2020-07-23,191.40310668945312,196.45287943278947,189.8731537604088,193.14893789022932,1156100
2020-07-24,176.6573944091797,185.15188038712927,175.65306573826797,184.33528687419928,2477400
2020-07-27,184.97354125976562,185.73381989809923,178.51584186482626,180.46816992195167,1857900
2020-07-28,180.65591430664062,184.8421450387381,180.39310225718978,183.31220653418833,1152000
2020-07-29,183.1526336669922,183.70641514823308,178.6566430026312,179.74544390696306,1479800
2020-07-30,185.7526092529297,186.78509540868495,181.8573479167473,182.8522813092845,1166700
2020-07-31,187.56411743164062,187.72368084169443,183.0681272550611,187.72368084169443,1149000
2020-08-03,194.9041290283203,195.2701896765036,190.07024940203036,190.15472163110758,1804600
2020-08-04,192.32293701171875,192.57636803286184,187.86449885643415,187.9489854116036,1727800
2020-08-05,191.46875,193.54308839903823,189.9481786321755,193.37414398160132,834900
2020-08-06,191.09335327148438,191.6659111781915,188.65295355670975,190.77422639159724,1036700
2020-08-07,190.39881896972656,193.85292909151005,187.99594294157245,189.4695812521995,991000
2020-08-10,190.6240234375,190.87745443700717,186.08111343706616,189.0377559166514,1018900
2020-08-11,188.2305450439453,192.24784534391677,187.77063115160254,191.0651768843348,745100
2020-08-12,195.2327117919922,195.9460569290912,188.7656287867699,189.18800438534416,823600
2020-08-13,197.07237243652344,197.35394656574755,193.74965448984295,195.03555742057839,1152700
2020-08-14,199.38186645507812,202.8602816274051,197.48712641089335,198.0338705394282,1209400
2020-08-17,204.20828247070312,206.03704375777806,200.6073171513966,200.9655322771895,1320400
2020-08-18,199.61752319335938,205.40545057513305,199.24988665091493,205.22635739504088,842700
2020-08-19,198.46746826171875,200.52247286588735,197.47768757576134,200.51305145175462,734300
2020-08-20,194.98907470703125,196.85553602414384,193.32056378060693,194.75340989079547,915200
2020-08-21,192.27420043945312,195.00790639811754,190.5208537314474,194.89479189561334,1425900
2020-08-24,196.4124755859375,196.7046976426213,193.5279406751593,195.6017880816672,922200
2020-08-25,198.22238159179688,199.0707691446542,195.30956802530318,196.10139832581515,869600
2020-08-26,200.0605926513672,200.4659436571947,197.58140830682922,197.74165867253393,615200
2020-08-27,192.7266845703125,201.8610551835986,191.8311611419948,201.5216972715811,1158900
2020-08-28,196.648193359375,196.9404154947708,192.255396760359,193.0472272660461,828900
2020-08-31,193.37709045410156,196.1767891789407,192.28360242757222,195.86570994464338,930100
2020-09-01,196.02598571777344,196.53502976137915,192.7832356367718,194.0841099883881,738100
2020-09-02,203.1807861328125,203.77466611492525,197.01580042913486,198.59946120298235,1171500
