Price,Close,High,Low,Open,Volume
Ticker,TMUS,TMUS,TMUS,TMUS,TMUS
Date,,,,,
2020-01-02,75.56291961669922,75.85136735230256,74.92834486811473,75.84175047164095,3392700
2020-01-03,75.15910339355469,75.40909095780225,74.48606841542406,75.05333970620114,1831900
2020-01-06,75.5917739868164,75.8129109042254,74.96680875254006,75.12064217305968,2675300
2020-01-07,75.88021087646484,76.4474894686375,75.1398724450704,75.54369340764919,3262400
2020-01-08,76.36094665527344,76.7166978595728,75.07256348686462,76.16865306867007,3037400
2020-01-09,76.73593139648438,77.23590650484277,76.34172730675064,76.6974712084929,2981900
2020-01-10,75.95712280273438,77.12051582868989,75.81289895055993,77.12051582868989,2224800
2020-01-13,76.34172821044922,76.49556162870533,75.85136997716675,76.12058396076313,2283400
2020-01-14,76.726318359375,76.87053488836634,75.8225223215334,76.12057959548947,2050100
2020-01-15,77.1781997680664,77.38011755545025,76.55324198945874,76.78399574364511,1612300
2020-01-16,78.30315399169922,78.38006703324223,77.17821364970328,77.17821364970328,3109300
2020-01-17,78.98580169677734,79.07233161480572,78.42813999549276,78.79350076416343,3559600
2020-01-21,78.87042999267578,79.75499237542574,78.64929306475396,78.83196980183473,3612000
2020-01-22,79.31269836425781,79.83189985339318,78.90887742899591,78.97618091820623,1672500
2020-01-23,79.0146484375,79.19733249754175,78.79350418926363,79.13002900208387,1754900
2020-01-24,78.43775939941406,79.40885163211576,78.19738872756163,79.12041122721128,1596500
2020-01-27,77.61088562011719,78.40891803092383,77.28397768383998,77.77433592049033,1934600
2020-01-28,78.51467895507812,79.13002728175239,77.81279337296462,77.95701724167624,2395000
2020-01-29,77.16860961914062,78.73582390248664,77.00515197229419,78.71659747460959,2602400
2020-01-30,77.82241821289062,77.92818190506064,76.51480105109002,76.52441059726443,2352700
2020-01-31,76.13980865478516,77.67817933178655,76.11096535076794,77.48587841245512,2863600
2020-02-03,76.3994140625,77.64934450018065,76.27442395294426,77.26474995508424,2873600
2020-02-04,78.3704605102539,78.73582131214943,76.17828102781847,77.06284339169046,4597800
2020-02-05,78.63967895507812,79.52424136900743,78.60121876288143,78.8031292702654,2758800
2020-02-06,79.58191680908203,79.8799814228485,78.84157838601752,78.96656849144824,2976200
2020-02-07,82.14908599853516,82.48560348365166,79.09157065349049,80.15881706023927,6740600
2020-02-10,81.27413177490234,82.3509950439014,81.1299079022326,82.12024124894836,3423100
2020-02-11,90.85050201416016,91.56200452307247,89.09099417563183,90.09092976958479,25874400
2020-02-12,91.98506164550781,92.56194988304888,90.30246667361942,90.37938706143342,8915500
2020-02-13,91.4754638671875,92.44656345212806,91.14856326889851,91.45623744074204,5490500
2020-02-14,92.76384735107422,92.89845433240428,91.36007625629445,91.59083736902912,3045900
2020-02-18,96.03288269042969,96.16748967213323,92.57154668063954,93.1195914877269,7460100
2020-02-19,96.61940002441406,97.44627578079972,95.80214114952999,97.26359904545727,6091300
2020-02-20,95.66753387451172,96.55209624629126,94.44645400646075,96.24442205891006,6350400
2020-02-21,94.77335357666016,95.65791593869,92.89846516414786,95.15794814053044,12101000
2020-02-24,92.6580810546875,93.56186971298405,92.18694929782504,92.4273199484785,4700900
2020-02-25,90.9370346069336,93.26382095687674,90.81203716245787,92.84076622578498,5117500
2020-02-26,90.04286193847656,91.97544433996889,89.84095143914621,91.03318800756263,4371300
2020-02-27,87.72566986083984,89.72555541775854,87.64875682828917,89.25443100044166,5856400
2020-02-28,86.68728637695312,87.01418698379312,84.11051236953668,85.99501763831421,6957600
2020-03-02,89.69672393798828,89.76402743504877,85.55273575712589,86.80265889332514,5160600
2020-03-03,85.92770385742188,90.30244534997945,85.35080842057455,89.06213189760602,5702000
2020-03-04,90.19670104980469,90.34092493999574,86.77382455596451,86.94689175708743,5222200
2020-03-05,86.39884948730469,89.57174582649773,85.75465773833638,88.08144447479421,4941300
2020-03-06,84.47586822509766,84.8796891871752,82.1298481559279,82.78365666689994,5978500
2020-03-09,76.67823791503906,81.62025792861422,76.51478763236183,80.06265346434546,7946600
2020-03-10,81.70680236816406,81.73564567523009,77.12052582086542,78.82235429306886,6713600
2020-03-11,83.12017059326172,84.44702132001865,79.6588345855395,79.66845146580695,8840300
2020-03-12,73.80341339111328,81.72602870842881,73.46689591647885,78.86080706254683,9075300
2020-03-13,82.10099792480469,82.2259880209446,73.65918194270706,77.06283119785333,7401700
2020-03-16,73.58226776123047,77.44743221302362,71.95735969714818,75.32254905128647,6787700
2020-03-17,75.33216094970703,77.30320323241261,72.54385991643944,74.61104899294111,7609100
2020-03-18,71.45738983154297,73.16882776472619,61.05414791355255,71.7266037982643,11114200
2020-03-19,76.3897933959961,78.83196020047282,70.77473825665528,71.89005431307992,8906200
2020-03-20,71.67852783203125,78.84156997479793,70.34206765954474,76.91860485346139,6836600
2020-03-23,72.78423309326172,73.7072628852045,68.10181731965511,72.09197175260024,8328800
2020-03-24,75.62062072753906,76.63979010828167,72.90923963107576,75.47639684607724,5929100
2020-03-25,76.12059020996094,82.17793468028668,74.75528641790426,74.7745128459406,6252700
2020-03-26,81.37026977539062,81.71640409814022,76.65901090507796,76.91860797937511,4821300
2020-03-27,78.57238006591797,80.66841298274929,77.89933766625609,79.36079571341239,4309600
2020-03-30,79.91844177246094,80.62993689076256,78.1108496671398,79.12040939981514,5625200
2020-03-31,80.66839599609375,81.48565478345296,78.82235106418179,79.84152032826289,6920600
2020-04-01,81.85101318359375,83.37015749084401,79.51461011261758,79.7934409539886,11018800
2020-04-02,81.15876770019531,85.11045530971329,80.78378265474196,81.77411611317092,22956100
2020-04-03,78.82234954833984,81.71640699456144,77.9185535251777,81.30296916859687,8378500
2020-04-06,82.77404022216797,83.15863476044717,79.79344538768285,81.23566940458184,5256300
2020-04-07,83.17786407470703,84.52394121894939,81.88947354068652,84.2835705623179,4410100
2020-04-08,83.50476837158203,84.26434056068351,82.68750956968545,83.26439770422829,3831600
2020-04-09,82.59136199951172,84.37010345423273,81.65872264519315,83.53361089885277,5770900
2020-04-13,82.85094451904297,83.91819067128304,81.21642721796084,81.33180042218403,3955700
2020-04-14,86.16808319091797,86.47575736498212,83.07210768816128,83.83167991002955,4787100
2020-04-15,85.12968444824219,85.94694332711268,83.74514692651155,84.53356249626788,5804000
2020-04-16,86.79305267333984,87.09111734167548,84.67779336115687,85.67773639426233,4796400
2020-04-17,87.48530578613281,89.70633573429569,86.3988330135895,89.17751733341629,3847500
2020-04-20,86.47574615478516,88.19680086443806,85.62002723986416,86.1296118368924,3508700
2020-04-21,83.86051940917969,86.42767637014708,82.783656181095,85.81232804996456,3946400
2020-04-22,86.68728637695312,87.15841086026474,84.87969415150019,86.41806505095826,4261100
2020-04-23,86.86034393310547,88.3410281770996,85.85079149551689,87.1872518668467,4537100
2020-04-24,87.30262756347656,87.49492115928477,85.58157273953027,86.9084161558801,3564100
2020-04-27,87.40840148925781,87.86029222593811,85.59119231883426,87.80260560753878,3726300
2020-04-28,84.55279541015625,87.88914172743766,84.50471833842795,87.7256840848802,3356500
2020-04-29,85.8700180053711,86.56228672640766,84.58163470218818,85.61042090274783,3110700
2020-04-30,84.4181900024414,85.59119281808069,83.93744861822599,85.47581958060907,3938100
2020-05-01,82.87979888916016,84.7162342139576,82.5048212542959,84.36048300385526,3162000
2020-05-04,85.53349304199219,85.54310992214594,82.74519197535217,83.4278437556641,4212200
2020-05-05,85.54312133789062,86.31230313564309,85.03353665469095,85.36043726824123,3020100
2020-05-06,83.2547836303711,86.27384606280447,83.0817237861514,85.78348783092272,3840900
2020-05-07,91.61968231201172,91.72544599002313,86.7545824656083,86.86995568850769,10442000
2020-05-08,94.72526550292969,94.96563616048796,91.36969317736474,92.91768079888242,4851100
2020-05-11,92.9946060180664,93.70610114758392,92.28311088854889,92.7638522287287,3732800
2020-05-12,90.96588134765625,92.94653341702109,90.90819473143198,92.47540893495035,3773600
2020-05-13,89.20635223388672,90.88894674200539,87.9756557102047,90.75433976819828,3256900
2020-05-14,91.25433349609375,91.4081669252799,88.61025587064483,88.97561668355192,3990100
2020-05-15,93.57150268554688,93.90802018723056,90.11978306958493,91.36008938500031,6715500
2020-05-18,97.97508239746094,98.77311474849063,94.29260212895268,94.37913938095285,6383600
2020-05-19,94.80218505859375,95.9175084211271,92.44655556899284,94.61950834858108,21394500
2020-05-20,94.35990905761719,95.95597381781806,94.0330084694492,95.32139173180163,5978700
2020-05-21,90.75435638427734,94.94642177029436,89.41789594569495,94.94642177029436,5586900
2020-05-22,92.11004638671875,92.99460871780204,90.71589205840506,90.89857612034673,4849300
2020-05-26,91.88890075683594,93.49457509502079,90.82165437983144,93.18690092641333,5007200
2020-05-27,93.45610809326172,94.38874741197382,91.39853586530174,91.97543130796961,4540400
2020-05-28,95.39830780029297,95.98481279191499,93.40803904798672,93.76378292663821,5457700
2020-05-29,96.18672943115234,96.5328637872703,93.57149533405261,95.44638365008252,9777300
2020-06-01,95.85981750488281,97.10974788714739,95.49445673778155,96.10980504844183,2903300
2020-06-02,96.54248809814453,96.62901802606805,94.71566937482405,94.8598932568946,4720200
2020-06-03,97.31166076660156,98.40775043049942,96.5713223336473,97.02322036509356,3756300
2020-06-04,96.31172943115234,97.77318738163116,95.94636861129842,97.62896349584908,2534100
2020-06-05,97.23474884033203,99.0038809325228,96.62901734255802,97.39820648447248,3957900
2020-06-08,100.43647003173828,101.06143517961013,96.5713132644811,96.85975363890121,5043500
2020-06-09,99.21540832519531,99.55192582399891,97.85009723135721,98.24430868390665,5037000
2020-06-10,101.71525573730469,102.60943494193727,98.8500340629939,98.8500340629939,6273500
2020-06-11,97.00398254394531,101.25373403386982,96.85975868146191,100.48455232650898,7689300
2020-06-12,98.36929321289062,101.0037611064865,96.39825806872452,100.23457200818257,5289300
